施設名,施設名(英語),カテゴリ,都道府県名,市区町村名,行政区名,住所,住所(かな),電話番号,対象地区,対象に対する記述,緯度,経度,海抜(m),避難所高さ(m),許容人数,洪水対応,土砂災害対応,高潮対応,地震対応,津波対応,浸水対応,大火事対応,噴火対応,説明(日本語),説明(英語),標準地域コード
浜川小学校,"",一時集合場所,"","","","","","",大井第一地区,"",35.3554,139.441,"","","","","","","","","","","",南大井第四町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
南大井文化センター,"",一時集合場所,"","","","","","",大井第一地区,"",35.3547,139.4415,"","","","","","","","","","","",南大井第四町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
浜川公園,"",一時集合場所,"","","","","","",大井第一地区,"",35.3549,139.448,"","","","","","","","","","","",大井寺下町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
関ヶ原公園,"",一時集合場所,"","","","","","",大井第一地区,"",35.369,139.448,"","","","","","","","","","","",大井関ヶ原町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
東大井公園,"",一時集合場所,"","","","","","",大井第一地区,"",35.3613,139.442,"","","","","","","","","","","",大井元芝町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
総合区民会館,"",一時集合場所,"","","","","","",大井第一地区,"",35.3622,139.449,"","","","","","","","","","","",大井立会町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
立会小学校,"",一時集合場所,"","","","","","",大井第一地区,"",35.3616,139.4425,"","","","","","","","","","","",東大井月見台町会、東大井林町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
わかくさ公園,"",一時集合場所,"","","","","","",大井第一地区,"",35.3548,139.444,"","","","","","","","","","","",勝島町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大森駅前住宅中庭,"",一時集合場所,"","","","","","",大井第一地区,"",35.351814,139.434441,"","","","","","","","","","","",大森駅前住宅自治会,"",http://statdb.nstac.go.jp/lod/sac/C13109
JR東日本大井工場,"",一時集合場所,"","","","","","",大井第二地区,"",35.3633,139.4358,"","","","","","","","","","","",大井一丁目権現町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大井中央公園,"",一時集合場所,"","","","","","",大井第二地区,"",35.3616,139.4356,"","","","","","","","","","","",大井一丁目鎧町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
宮下公園,"",一時集合場所,"","","","","","",大井第二地区,"",35.3619,139.4342,"","","","","","","","","","","",大井森下町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
森下児童遊園,"",一時集合場所,"","","","","","",大井第二地区,"",35.3623,139.4345,"","","","","","","","","","","",大井森下町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大井2丁目防災活動広場一部,"",一時集合場所,"","","","","","",大井第二地区,"",35.3614,139.4338,"","","","","","","","","","","",大井二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大井2丁目町会事務所,"",一時集合場所,"","","","","","",大井第二地区,"",35.3616,139.4342,"","","","","","","","","","","",大井二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
山中小学校,"",一時集合場所,"","","","","","",大井第二地区,"",35.361,139.4348,"","","","","","","","","","","",大井三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田町会事務所前,"",一時集合場所,"","","","","","",大井第二地区,"",35.361,139.441,"","","","","","","","","","","",大井倉田町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西光寺門前,"",一時集合場所,"","","","","","",大井第二地区,"",35.361,139.4359,"","","","","","","","","","","",大井倉田町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
伊藤学園,"",一時集合場所,"","","","","","",大井第二地区,"",35.361,139.4334,"","","","","","","","","","","",大井滝王子町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大井第一小学校,"",一時集合場所,"","","","","","",大井第二地区、大井第三地区,"",35.3555,139.4352,"","","","","","","","","","","",大井滝王子町会、大井鹿島町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西大井広場公園,"",一時集合場所,"","","","","","",大井第二地区、大井第三地区、荏原第五地区,"",35.367,139.4323,"","","","","","","","","","","",西大井一丁目町会、西大井六丁目町会、二葉中央町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
鹿島庚塚児童遊園,"",一時集合場所,"","","","","","",大井第三地区,"",35.3539,139.4345,"","","","","","","","","","","",大井庚塚町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西大井3丁目防災活動広場,"",一時集合場所,"","","","","","",大井第三地区,"",35.3549,139.4327,"","","","","","","","","","","",出石町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
出石公園,"",一時集合場所,"","","","","","",大井第三地区,"",35.354,139.432,"","","","","","","","","","","",出石町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
ウェルカムセンター原,"",一時集合場所,"","","","","","",大井第三地区,"",35.3557,139.4319,"","","","","","","","","","","",西大井二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西の森公園,"",一時集合場所,"","","","","","",大井第三地区,"",35.355,139.4316,"","","","","","","","","","","",西大井四丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西大井4丁目防災活動広場,"",一時集合場所,"","","","","","",大井第三地区,"",35.3535,139.431,"","","","","","","","","","","",西大井四丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
伊藤小学校,"",一時集合場所,"","","","","","",大井第三地区,"",35.3556,139.432,"","","","","","","","","","","",西大井五丁目伊藤町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
冨士見台中学校,"",一時集合場所,"","","","","","",大井第三地区,"",35.3555,139.4255,"","","","","","","","","","","",西大井五丁目伊藤町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
林試の森公園,"",一時集合場所,"","","","","","",荏原第一地区,"",35.3729,139.4155,"","","","","","","","","","","",小山台一丁目町会、小山台一丁目東町会、小山台二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大陽日酸株式会社,"",一時集合場所,"","","","","","",荏原第一地区,"",35.3721,139.4241,"","","","","","","","","","","",小山一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
あさひ公園,"",一時集合場所,"","","","","","",荏原第一地区,"",35.3713,139.4229,"","","","","","","","","","","",小山二丁目東部町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
後地小学校,"",一時集合場所,"","","","","","",荏原第一地区,"",35.3718,139.4231,"","","","","","","","","","","",小山二丁目西部町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
小山台高等学校,"",一時集合場所,"","","","","","",荏原第一地区,"",35.3716,139.4213,"","","","","","","","","","","",小山三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
小山小学校,"",一時集合場所,"","","","","","",荏原第一地区、荏原第二地区,"",35.3658,139.4212,"","","","","","","","","","","",小山四丁目町会、荏原五丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原第六中学校,"",一時集合場所,"","","","","","",荏原第一地区,"",35.3659,139.42,"","","","","","","","","","","",小山五丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原第一中学校,"",一時集合場所,"","","","","","",荏原第一地区,"",35.371,139.4246,"","","","","","","","","","","",荏原一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
星薬科大学グラウンド,"",一時集合場所,"","","","","","",荏原第一地区,"",35.378,139.4244,"","","","","","","","","","","",荏原二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原3丁目防災活動広場,"",一時集合場所,"","","","","","",荏原第一地区,"",35.375,139.423,"","","","","","","","","","","",荏原三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
スクエア荏原,"",一時集合場所,"","","","","","",荏原第一地区、荏原第三地区,"",35.3655,139.4227,"","","","","","","","","","","",荏原四丁目町会、平塚四丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
京陽小学校,"",一時集合場所,"","","","","","",荏原第二地区,"",35.3654,139.4247,"","","","","","","","","","","",中原共和町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
江戸見坂公園,"",一時集合場所,"","","","","","",荏原第二地区,"",35.3646,139.4157,"","","","","","","","","","","",小山六丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
洗足会館,"",一時集合場所,"","","","","","",荏原第二地区,"",35.3642,139.4145,"","","","","","","","","","","",小山ヒ丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原南公園,"",一時集合場所,"","","","","","",荏原第二地区,"",35.3641,139.421,"","","","","","","","","","","",荏原六丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
小山八幡神社,"",一時集合場所,"","","","","","",荏原第二地区,"",35.3642,139.4159,"","","","","","","","","","","",荏原七丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
第二延山小学校,"",一時集合場所,"","","","","","",荏原第二地区,"",35.3636,139.4213,"","","","","","","","","","","",旗の台一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
清水台小学校,"",一時集合場所,"","","","","","",荏原第二地区,"",35.3627,139.428,"","","","","","","","","","","",旗の台二丁目町会、旗の台西二丁目町会、小山洗足町会、旗の台六丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
旗の台公園,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3613,139.421,"","","","","","","","","","","",旗の台南町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
梅宮医院前,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3657,139.4255,"","","","","","","","","","","",平塚一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
竹の子公園,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3647,139.4249,"","","","","","","","","","","",平塚一丁目南部町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
京陽公園,"",一時集合場所,"","","","","","",荏原第三地区,"",35.37,139.4248,"","","","","","","","","","","",平塚二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原平塚学園,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3655,139.4236,"","","","","","","","","","","",平塚三丁目町会、西中延自治会,"",http://statdb.nstac.go.jp/lod/sac/C13109
中延小学校,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3645,139.4234,"","","","","","","","","","","",中延一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
延山小学校,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3632,139.4229,"","","","","","","","","","","",中延二丁目町会、西中延二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
東中はなみずき公園,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3639,139.4245,"","","","","","","","","","","",東中延一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
中延公園,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3642,139.4229,"","","","","","","","","","","",西中延一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原警察署横路上,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3643,139.4223,"","","","","","","","","","","",西中延一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
戸越台中学校,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3657,139.433,"","","","","","","","","","","",戸越銀座町会、戸越一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
戸越2丁目広場児童遊園,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3652,139.436,"","","","","","","","","","","",戸越二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
宮前小学校,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3643,139.436,"","","","","","","","","","","",戸越三丁目町会、戸越四丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大崎高校,"",一時集合場所,"","","","","","",荏原第三地区,"",35.3634,139.4317,"","","","","","","","","","","",戸越五丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
中延3丁目防災活動広場,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3627,139.4238,"","","","","","","","","","","",中延三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
小川ビル,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3658,139.4245,"","","","","","","","","","","",中延四丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
中延みちしるべ防災広場,"",一時集合場所,"","","","","","",荏原第四地区,"",35.365,139.423,"","","","","","","","","","","",中延五丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原町公園,"",一時集合場所,"","","","","","",荏原第四地区,"",35.367,139.4232,"","","","","","","","","","","",荏原町町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
東中延公園,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3625,139.4245,"","","","","","","","","","","",東中延二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大原公園,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3627,139.4252,"","","","","","","","","","","",東中延二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大野駐車場,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3619,139.425,"","","","","","","","","","","",東中三町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
宮野氏駐車場,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3618,139.4244,"","","","","","","","","","","",東中三町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
源氏前小学校,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3612,139.4242,"","","","","","","","","","","",中延六丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西中お日さま公園,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3625,139.4223,"","","","","","","","","","","",西中延三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
延山くすのき公園,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3629,139.4231,"","","","","","","","","","","",西中延三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
立会川児童遊園(カエル公園),"",一時集合場所,"","","","","","",荏原第四地区,"",35.362,139.4217,"","","","","","","","","","","",旗の台三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
旗台小学校,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3612,139.4215,"","","","","","","","","","","",旗の台四丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原第五中学校,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3611,139.428,"","","","","","","","","","","",旗の台五丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大原小学校,"",一時集合場所,"","","","","","",荏原第四地区,"",35.3626,139.4258,"","","","","","","","","","","",戸越六丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
上神明小学校,"",一時集合場所,"","","","","","",荏原第四地区,"",35.361,139.4257,"","","","","","","","","","","",豊町六丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
原っぱ公園,"",一時集合場所,"","","","","","",荏原第四地区,"",35.364,139.4249,"","","","","","","","","","","",二葉四丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
戸越小学校,"",一時集合場所,"","","","","","",荏原第五地区,"",35.3639,139.4316,"","","","","","","","","","","",豊町一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
戸越公園,"",一時集合場所,"","","","","","",荏原第五地区,"",35.364,139.4321,"","","","","","","","","","","",豊町二丁目親和会,"",http://statdb.nstac.go.jp/lod/sac/C13109
旧荏原第四中学校(朋優学院高校仮校舎),"",一時集合場所,"","","","","","",荏原第五地区,"",35.3632,139.4316,"","","","","","","","","","","",豊町三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
杜松ホーム,"",一時集合場所,"","","","","","",荏原第五地区,"",35.3622,139.4321,"","","","","","","","","","","",豊町四丁目町会、豊町五丁目町会、二葉中央町会、二葉三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
豊葉の杜学園,"",一時集合場所,"","","","","","",荏原第五地区,"",35.3626,139.4332,"","","","","","","","","","","",二葉一丁目町会、二葉神明町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
NFパークビルポケットパーク,"",一時集合場所,"","","","","","",荏原第五地区,"",35.362,139.4327,"","","","","","","","","","","",二葉二丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
